Artist,Song,URL
Icona Pop feat. Charli XCX,I Love It,https://www.whosampled.com/Icona-Pop/I-Love-It/
The Kinks,You Really Got Me,https://www.whosampled.com/The-Kinks/You-Really-Got-Me/
Taylor Swift,Blank Space,https://www.whosampled.com/Taylor-Swift/Blank-Space/
Tina Turner,What’s Love Got to Do With It,https://www.whosampled.com/Tina-Turner/What%27s-Love-Got-to-Do-With-It/
Cher,Believe,https://www.whosampled.com/Cher/Believe/
T-Pain feat. Yung Joc,Buy U a Drank (Shawty Snappin’),https://www.whosampled.com/T-Pain/Buy-U-a-Drank-%28Shawty-Snappin%27%29/
Blondie,Call Me,https://www.whosampled.com/Blondie/Call-Me/
Miley Cyrus,Wrecking Ball,https://www.whosampled.com/Miley-Cyrus/Wrecking-Ball/
The Archies,"Sugar, Sugar",https://www.whosampled.com/The-Archies/Sugar%2C-Sugar/
Martha and the Vandellas,Heat Wave,https://www.whosampled.com/Martha-and-the-Vandellas/Heat-Wave/
Missy Elliott,Get Ur Freak On,https://www.whosampled.com/Missy-Elliott/Get-Ur-Freak-On/
Nick Lowe,Cruel to Be Kind,https://www.whosampled.com/Nick-Lowe/Cruel-to-Be-Kind/
Frankie Valli,Can’t Take My Eyes Off You,https://www.whosampled.com/Frankie-Valli/Can%27t-Take-My-Eyes-Off-You/
Eminem,Lose Yourself,https://www.whosampled.com/Eminem/Lose-Yourself/
Kesha,Tik Tok,https://www.whosampled.com/Kesha/Tik-Tok/
Four Tops,I Can’t Help Myself,https://www.whosampled.com/Four-Tops/I-Can%27t-Help-Myself/
The Doobie Brothers,What a Fool Believes,https://www.whosampled.com/The-Doobie-Brothers/What-a-Fool-Believes/
Bon Jovi,Livin’ on a Prayer,https://www.whosampled.com/Bon-Jovi/Livin%27-on-a-Prayer/
Alanis Morissette,You Oughta Know,https://www.whosampled.com/Alanis-Morissette/You-Oughta-Know/
Coldplay,Viva La Vida,https://www.whosampled.com/Coldplay/Viva-La-Vida/
Cardi B,Bodak Yellow (Money Moves),https://www.whosampled.com/Cardi-B/Bodak-Yellow-%28Money-Moves%29/
Ritchie Valens,La Bamba,https://www.whosampled.com/Ritchie-Valens/La-Bamba/
Eurythmics,Sweet Dreams (Are Made of This),https://www.whosampled.com/Eurythmics/Sweet-Dreams-%28Are-Made-of-This%29/
Carly Simon,You’re So Vain,https://www.whosampled.com/Carly-Simon/You%27re-So-Vain/
