Artist,Song,Samples
Joni Mitchell,Big Yellow Taxi,No samples found.
Janet Jackson,That’s the Way Love Goes,"[Papa Don't Take No Mess by James Brown], [Impeach the President by The Honey Drippers]"
Electric Light Orchestra,Don’t Bring Me Down,[On the Run by Electric Light Orchestra]
The Chainsmokers feat. Halsey,Closer,[Over My Head (Cable Car) by The Fray]
The Zombies,She’s Not There,No samples found.
Guns N’ Roses,Sweet Child o’ Mine,No samples found.
Cascada,Everytime We Touch,[Everytime We Touch by Maggie Reilly]
Ginuwine,Pony,"[Life & Soul by The Sundays], [FX 9 by Zero-G], [FX 12 by Zero-G], [030 Yeaowaho by E-mu Systems]"
Michael Jackson,Beat It,[Untitled by Denny Jaeger]
The Bangles,Manic Monday,No samples found.
Kylie Minogue,Can’t Get You Out of My Head,No samples found.
Santana feat. Rob Thomas,Smooth,No samples found.
Foreigner,I Want to Know What Love Is,No samples found.
Estelle feat. Kanye West,American Boy,[Impatient by will.i.am]
Bad Bunny,Tití Me Preguntó,"[No Te Puedo Olvidar (Bachata) by Antony Santos], [Air Raid-Alert by Jac Holzman], [Uva Bombom by Rochy RD feat. El Chuky De Lewa]"
The Knack,My Sharona,No samples found.
Belinda Carlisle,Heaven Is a Place on Earth,No samples found.
Stevie Wonder,My Cherie Amour,No samples found.
Jean Knight,Mr. Big Stuff,No samples found.
Bobby Darin,Beyond the Sea,No samples found.
"Pitbull feat. Ne-Yo, Afrojack & Nayer",Give Me Everything,[I Got a Story to Tell by The Notorious B.I.G.]
Chaka Khan,I Feel for You,[Fingertips Part 2 by Stevie Wonder]
Nelly,Country Grammar (Hot Shit),[Down Down Baby by Traditional Folk]
Tom Jones,It’s Not Unusual,No samples found.
5 Seconds of Summer,She Looks So Perfect,No samples found.
Chic,Le Freak,No samples found.
Lisa Loeb,Stay (I Missed You),No samples found.
Johnny Cash,Ring of Fire,No samples found.
Cher,If I Could Turn Back Time,No samples found.
Jonas Brothers,Burnin’ Up,No samples found.
Tom Tom Club,Genius of Love,No samples found.
Bay City Rollers,Saturday Night,No samples found.
Carrie Underwood,Before He Cheats,No samples found.
BTS,Dynamite,No samples found.
New Order,Bizarre Love Triangle,No samples found.
Katrina and the Waves,Walking on Sunshine,No samples found.
Eagles,One of These Nights,No samples found.
Selena,Dreaming of You,No samples found.
Dion,Runaround Sue,No samples found.
Salt-n-Pepa,Push It,"[You Really Got Me by The Kinks], [Keep on Pushin' by Coal Kitchen], [The Bird by The Time], [I'm a Greedy Man by James Brown], [There It Is by James Brown]"
A Flock of Seagulls,I Ran (So Far Away),No samples found.
The Notorious B.I.G.,Big Poppa,"[Between the Sheets by The Isley Brothers], [Bad Boys by Bad Boys feat. K Love], [Dolly My Baby (Bad Boy Extended Mix) by Super Cat and Mary J. Blige feat. The Notorious B.I.G., Puff Daddy and 3rd Eye]"
Queen,Crazy Little Thing Called Love,No samples found.
Adina Howard,Freak Like Me,"[I'd Rather Be With You by Bootsy's Rubber Band], [Summer Madness by Kool & the Gang], [Sing a Simple Song by Sly & the Family Stone], [All Night Long by Mary Jane Girls], [Show Us a Feeling by Roy Ayers Ubiquity]"
P!nk,Raise Your Glass,No samples found.
Rihanna feat. Drake,Work,[Sail Away (Riddim) by Richie Stephens and Mikey 2000]
Lil Wayne feat. Static Major,Lollipop,"[It's Me...(Remix) by Swizz Beatz feat. Lil Wayne, R. Kelly and Jadakiss], [Back That Azz Up (Back That Thang Up) by Juvenile feat. Mannie Fresh and Lil Wayne]"
The Partridge Family,I Think I Love You,No samples found.
Blink-182,All the Small Things,No samples found.
Taylor Swift,Anti-Hero,No samples found.
Elvis Presley,Suspicious Minds,No samples found.
Prince and the Revolution,Raspberry Beret,No samples found.
Paula Abdul,Straight Up,No samples found.
John Denver,"Take Me Home, Country Roads",No samples found.
The Box Tops,The Letter,No samples found.
Etta James,At Last,No samples found.
