Artist,Song,Samples
Petula Clark,Downtown,No samples found
Charli XCX,Boom Clap,No samples found
Avril Lavigne,Sk8er Boi,No samples found
The Lovin’ Spoonful,Do You Believe in Magic,No samples found
Ace of Base,The Sign,[Shack Up by Banbarra]
SZA,Kill Bill,No samples found
The Spinners,Could It Be I’m Falling in Love?,No samples found
Aqua,Barbie Girl,No samples found
Carole King,It’s Too Late,No samples found
Soulja Boy,Crank That (Soulja Boy),"[ウォーターランド (Dire, Dire Docks) by Koji Kondo],[Destiny's Child Medley (Beyoncé Experience Live) by Beyoncé (Ft. Destiny's Child)]"
Joni Mitchell,Big Yellow Taxi,No samples found
Janet Jackson,That’s the Way Love Goes,"[If It Don't Turn You On (You Oughta Leave It Alone) by B.T. Express],[Georgy Porgy by Toto],[Impeach The President by The Honey Drippers (’70s Funk)],[Papa Don't Take No Mess by James Brown]"
Electric Light Orchestra,Don’t Bring Me Down,[On the Run by Electric Light Orchestra]
The Chainsmokers feat. Halsey,Closer,No samples found
The Zombies,She’s Not There,No samples found
Guns N’ Roses,Sweet Child o’ Mine,No samples found
Cascada,Everytime We Touch,No samples found
Ginuwine,Pony,No samples found
Michael Jackson,Beat It,No samples found
The Bangles,Manic Monday,[1999 by Prince]
Kylie Minogue,Can’t Get You Out of My Head,No samples found
Santana feat. Rob Thomas,Smooth,No samples found
Foreigner,I Want to Know What Love Is,No samples found
Estelle feat. Kanye West,American Boy,No samples found
Philip Bailey With Phil Collins,Easy Lover,No samples found
Bad Bunny,Tití Me Preguntó,[No Te Puedo Olvidar by Antony Santos]
The Knack,My Sharona,No samples found
Belinda Carlisle,Heaven Is a Place on Earth,No samples found
Stevie Wonder,My Cherie Amour,No samples found
Jean Knight,Mr. Big Stuff,No samples found
Bobby Darin,Beyond the Sea,No samples found
"Pitbull feat. Ne-Yo, Afrojack & Nayer",Give Me Everything,No samples found
Chaka Khan,I Feel for You,[Fingertips Pts. 1 & 2 by Stevie Wonder]
Nelly,Country Grammar (Hot Shit),No samples found
Tom Jones,It’s Not Unusual,No samples found
5 Seconds of Summer,She Looks So Perfect,No samples found
Chic,Le Freak,No samples found
Everly Brothers,All I Have to Do Is Dream,No samples found
Lisa Loeb,Stay (I Missed You),No samples found
Johnny Cash,Ring of Fire,No samples found
"Cardi B, J Balvin & Bad Bunny",I Like It,[I Like It Like That by Pete Rodriguez]
Cher,If I Could Turn Back Time,No samples found
Jonas Brothers,Burnin’ Up,No samples found
Tom Tom Club,Genius of Love,No samples found
Big Punisher feat. Joe,Still Not a Player,[A Little Bit of Love by Brenda Russell]
Bay City Rollers,Saturday Night,No samples found
Carrie Underwood,Before He Cheats,No samples found
BTS,Dynamite,No samples found
New Order,Bizarre Love Triangle,[The Firebird (L'oiseau de feu): Infernal Dance of King Kaschei by Игорь Стравинский (Igor Stravinsky)]
Katrina and the Waves,Walking on Sunshine,No samples found
Eagles,One of These Nights,No samples found
Selena,Dreaming of You,No samples found
Dion,Runaround Sue,No samples found
Salt-n-Pepa,Push It,"[Keep On Pushin’ by Coalkitchen],[There It Is, Pts. 1 & 2 / Single Version by James Brown],[I’m a Greedy Man by James Brown],[There It Is by James Brown],[The Bird by ​The Time],[You Really Got Me by The Kinks]"
A Flock of Seagulls,I Ran (So Far Away),No samples found
The Notorious B.I.G.,Big Poppa,"[Dolly My Baby (Remix) by Super Cat (Ft. 3rd Eye, Diddy, Mary J. Blige & The Notorious B.I.G.)],[Between the Sheets by The Isley Brothers]"
Queen,Crazy Little Thing Called Love,No samples found
Adina Howard,Freak Like Me,"[I'd Rather Be With You by Bootsy's Rubber Band],[Sing a Simple Song by Sly and the Family Stone]"
P!nk,Raise Your Glass,No samples found
Rihanna feat. Drake,Work,No samples found
Lil Wayne feat. Static Major,Lollipop,No samples found
The Partridge Family,I Think I Love You,No samples found
Blink-182,All the Small Things,No samples found
Taylor Swift,Anti-Hero,No samples found
Elvis Presley,Suspicious Minds,No samples found
Prince and the Revolution,Raspberry Beret,No samples found
Paula Abdul,Straight Up,No samples found
Lil Jon & The East Side Boyz feat. Ying Yang Twins,Get Low,No samples found
James Brown and the Famous Flames,I Got You (I Feel Good),No samples found
John Denver,"Take Me Home, Country Roads",No samples found
The Box Tops,The Letter,No samples found
Etta James,At Last,No samples found
Gnarls Barkley,Crazy,[Il carico d'oro by Gianfranco & Gianpiero Reverberi]
Gin Blossoms,Hey Jealousy,No samples found
Lesley Gore,It’s My Party,No samples found
Calvin Harris feat. Frank Ocean & Migos,Slide,No samples found
Arthur Conley,Sweet Soul Music,No samples found
New Edition,Candy Girl,[ABC by The Jackson 5]
R.E.M.,Losing My Religion,No samples found
Fergie feat. Ludacris,Glamorous,No samples found
Kris Kross,Jump,"[How I Could Just Kill a Man by Cypress Hill],[The Original Human Beat Box by Doug E. Fresh],[The Humpty Dance by Digital Underground],[Midnight Theme by Manzel],[O.P.P. by Naughty By Nature],[Saturday Night by Schoolly D],[Escape-Ism by James Brown],[Sing a Simple Song by Sly and the Family Stone],[I Want You Back by The Jackson 5],[Impeach The President by The Honey Drippers (’70s Funk)],[Funky Worm by Ohio Players],[Appetite For Destruction by N.W.A]"
Isley Brothers,That Lady,No samples found
B.J. Thomas,Raindrops Keep Fallin’ on My Head,No samples found
Avicii,Levels,"[Finally Moving by Pretty Lights],[Something's Got a Hold On Me by Etta James]"
Yvonne Elliman,If I Can’t Have You,No samples found
Fatboy Slim,Praise You,"[Balance & Rehearsal by Various Artists],[It's a Small World (Multilingual) by Various Artists],[Lucky Man by Steve Miller Band],[Take Yo' Praise by Camille Yarbrough]"
Sean Paul,Get Busy,[Majestic by ​The Orb]
Simple Minds,Don’t You (Forget About Me),No samples found
Smash Mouth,All Star,No samples found
Taio Cruz,Dynamite,No samples found
The Captain & Tennille,Love Will Keep Us Together,No samples found
Lisa Lisa & Cult Jam with Full Force,I Wonder If I Take You Home,No samples found
Megan Thee Stallion feat. Beyoncé,Savage Remix,No samples found
The Emotions,Best of My Love,No samples found
Natalie Imbruglia,Torn,No samples found
Carl Carlton,Everlasting Love,No samples found
Sonny & Cher,I Got You Babe,No samples found
Jack Ü with Justin Bieber,Where Are Ü Now,No samples found
Def Leppard,Photograph,No samples found
Ed Sheeran,Thinking Out Loud,No samples found
Sir Mix-a-Lot,Baby Got Back,"[Technicolor (Long Mix) by Channel One],[I Got Game by Sir Mix-a-Lot],[Seminar by Sir Mix-a-Lot]"
Divinyls,I Touch Myself,No samples found
Lady A,Need You Now,No samples found
KC and the Sunshine Band,Boogie Shoes,No samples found
Dusty Springfield,I Only Want to Be With You,No samples found
Eve feat. Gwen Stefani,Let Me Blow Ya Mind,No samples found
Katy Perry,Hot N Cold,No samples found
Eminem,My Name Is,[My Name Is (Instrumental) by Eminem]
10cc,I’m Not in Love,No samples found
Mark Morrison,Return of the Mack,"[Rocket in the Pocket (Live in Paris) by Cerrone],[The Humpty Dance by Digital Underground],[Games by Chuckii Booker],[Genius of Love by Tom Tom Club]"
Go-Go’s,Our Lips Are Sealed,No samples found
Natalie Cole,This Will Be,No samples found
Jennifer Lopez feat. Styles P & Jadakiss,Jenny From the Block,"[South Bronx by Boogie Down Productions],[Heaven and Hell Is on Earth by 20th Century Steel Band]"
The J. Geils Band,Centerfold,No samples found
Jimmy Eat World,The Middle,No samples found
